       0.2695805E+03        0.1812010E+05        0.1718011E+02        0.7191267E+02
       0.2029968E+03        0.1027958E+05        0.9489071E+01        0.2245619E+02
       0.2446609E+03        0.1496305E+05        0.1440495E+02        0.5121239E+02
       0.1639690E+02        0.6713174E+02        0.3551202E+01        0.3151538E+01
       0.2790345E+03        0.1941801E+05        0.1766224E+02        0.7762950E+02
       0.3324100E+03        0.2752291E+05        0.2369468E+02        0.1377884E+03
       0.3213981E+03        0.2576356E+05        0.2187098E+02        0.1186976E+03
       0.3191878E+03        0.2546822E+05        0.2192130E+02        0.1194927E+03
       0.2625704E+03        0.1720990E+05        0.1623824E+02        0.6556532E+02
       0.2150550E+03        0.1152187E+05        0.1097292E+02        0.2982061E+02
       0.2726479E+03        0.1847819E+05        0.1737940E+02        0.7371406E+02
       0.1135068E+02        0.3215511E+02        0.3414650E+01        0.2914837E+01
       0.2573474E+03        0.1641060E+05        0.1524065E+02        0.5709895E+02
       0.3242107E+03        0.2621833E+05        0.2247243E+02        0.1261490E+03
       0.2888802E+03        0.2082554E+05        0.1870603E+02        0.8689644E+02
       0.2319878E+03        0.1319021E+05        0.1234096E+02        0.3511596E+02
       0.2674812E+03        0.1779580E+05        0.1705422E+02        0.7225297E+02
       0.3114535E+03        0.2409521E+05        0.2038143E+02        0.1012827E+03
       0.2536020E+03        0.1605106E+05        0.1462639E+02        0.5346019E+02
       0.2940677E+03        0.2139764E+05        0.1953826E+02        0.9262679E+02
       0.2233923E+03        0.1227869E+05        0.1131455E+02        0.2896867E+02
       0.5209930E+02        0.6782246E+03        0.4880566E+01        0.5945167E+01
       0.7638870E+01        0.1457998E+02        0.3171191E+01        0.2513854E+01
       0.1003832E+02        0.2489871E+02        0.3304834E+01        0.2730376E+01
       0.3168669E+03        0.2501547E+05        0.2170383E+02        0.1163356E+03
       0.2241617E+03        0.1255039E+05        0.1219413E+02        0.3577394E+02
       0.2445238E+03        0.1490442E+05        0.1376096E+02        0.4495962E+02
       0.2779465E+03        0.1920853E+05        0.1654168E+02        0.6686404E+02
       0.2667439E+03        0.1761613E+05        0.1745814E+02        0.6807341E+02
       0.2161779E+03        0.1161676E+05        0.1090726E+02        0.2751773E+02
       0.2810998E+03        0.1962126E+05        0.1804256E+02        0.7989868E+02
       0.3106705E+03        0.2405087E+05        0.2220701E+02        0.1228948E+03
       0.1833739E+03        0.8384811E+04        0.9805399E+01        0.2382961E+02
       0.2732233E+03        0.1864062E+05        0.1736149E+02        0.7509233E+02
       0.2312292E+03        0.1334089E+05        0.1197613E+02        0.3576894E+02
       0.3474529E+03        0.2999006E+05        0.2527421E+02        0.1519790E+03
       0.2819261E+03        0.1978181E+05        0.1771513E+02        0.7572716E+02
       0.2992693E+03        0.2237569E+05        0.1969961E+02        0.9651775E+02
