          34           1
          35           1
          25           1
          45           1
          36           1
          23           2
          24           2
          44           2
          43           2
          13           3
          14           3
          22           3
          33           3
          15           3
          16           3
          17           3
          26           3
          37           3
          21           3
          47           4
          57           4
          55           4
          56           4
          54           4
          42           5
          52           5
          53           5
           6           5
          32           5
           5           5
           7           5
          12           5
           8           5
           9           5
          18           5
          78           5
          10           5
          27           5
          38           5
          48           6
          49           6
          58           6
          66           6
          67           6
          63           6
          64           6
          65           6
          41           6
          51           6
          60           6
          61           6
          62           6
           2           6
           4           6
          11           6
          20           6
           3           6
          28           6
          39           6
          59           6
          68           6
          74           6
          31           6
           1           6
          19           6
          30           6
          50           6
          40           6
          70           6
          71           6
          73           6
          69           6
          72           6
          46           7
          29           7
          75           7
          76           7
          77           7
          79           7
          80           7
